year,organ,amount
2000,IACHR,2987.5
2000,IACtHR,1114.9
2001,IACHR,3114.7
2001,IACtHR,1284.7
2002,IACHR,3154.5
2002,IACtHR,1354.7
2003,IACHR,3200.5
2003,IACtHR,1420.4
2004,IACHR,3429.9
2004,IACtHR,1391.3
2005,IACHR,2929.2
2005,IACtHR,1391.3
2006,IACHR,3274.8
2006,IACtHR,1391.3
2007,IACHR,3677.7
2007,IACtHR,1656.3
2008,IACHR,3621.3
2008,IACtHR,1756.3
2009,IACHR,3845.1
2009,IACtHR,1780.5
2010,IACHR,4509.6
2010,IACtHR,1864.5
2011,IACHR,4646.7
2011,IACtHR,2058.1
2012,IACHR,4779.7
2012,IACtHR,2161
2013,IACHR,5280.2
2013,IACtHR,2661
2014,IACHR,5345.3
2014,IACtHR,2661.1
